MLP,Patente,Altura,Ancho,Largo,Modelo,Año,Largo Carga,Superficie Carga m3,Cantidad de Pallet,Capacidad de carga M3,Altura Carga,Ancho Carga,Tipo,SI
Iflow,AF701GP,3.2,2.5,7.1,HINO 300/816,2022,5.1,12.75,9.35,22.44,2,2.2,Chasis,Si
Iflow,AA595LR,3.2,2.5,7.3,MERCEDES BENZ ACCELO 815,2016,5.3,13.25,9.716.666.667,23.32,2,2.2,Chasis Pesado,Si
Iflow,AE823KO,2.8,2.4,8.2,IVECO DAILY,2021,6.2,14.88,9.093.333.333,21.824,1.6,2.2,Chasis,Si
Iflow,AE350JS,2.7,2.4,7.5,IVECO DAILY 35C15 PASO 3750,2020,5.5,13.2,7.5625,18.15,1.5,2.2,Chasis,Si
Iflow,AD054VX,3.5,2.5,8.3,FORD CARGO 1723 4X2 CN MT 48,2018,6.3,15.75,11.55,27.72,2,2.2,Chasis Pesado,Si
Iflow,AE789GH,2.6,2,5.93,MERCEDES BENZ SPRINTER 416 CDI FURGON 4325,2021,3.93,7.86,4.1265,9.9036,1.4,1.8,Utilitario Largo,Si
Intermedio,SML748,2.1,2.35,6.55,DEUTZ AGRALE DYNAMIC-06,1993,4.55,10.6925,375.375,9.009,0.9,2.2,Utilitario Largo,Si
Intermedio,OJU288,2.9,2.2,6.6,IVECO DAILY 35C14 PASO 3750,2014,4.6,10.12,6.516.666.667,15.64,1.7,2,Chasis Liviano,Si
Intermedio,OPW646,3.1,2.21,7.3,MERCEDES BENZ 710,2015,5.3,11.713,8.433.625,202.407,1.9,02.01,Chasis,Si
Intermedio,AC837QL,3,2.3,7.25,MERCEDES BENZ ACCELO 815,2018,5.25,12.075,826.875,19.845,1.8,2.1,Chasis,Si
Intermedio,PKG755,3.2,2.2,6.8,IVECO DAILY 35C14 PASO 3750,2015,4.8,10.56,8,19.2,2,2,Chasis,Si
Intermedio,AB920QW,3.16,2.3,7.35,MERCEDES BENZ ACCELO 815,2017,5.35,12.305,917.525,220.206,1.96,2.1,Chasis,Si
Intermedio,BXO546,3.1,2.5,7.4,MERCEDES BENZ 710,1998,5.4,13.5,9.405,22.572,1.9,2.2,Chasis,Si
